Episode 1, Reward: -63.96653340666666, Epsilon: 0.9
Episode 2, Reward: -126.079321975, Epsilon: 0.9
Episode 3, Reward: -82.30571039666665, Epsilon: 0.9
Episode 4, Reward: -108.88703730166668, Epsilon: 0.9
Episode 5, Reward: -75.07585529333333, Epsilon: 0.9
Episode 6, Reward: -167.96084914333335, Epsilon: 0.9
Episode 7, Reward: -140.411428335, Epsilon: 0.9
Episode 8, Reward: -80.63540366833332, Epsilon: 0.9
Episode 9, Reward: -111.70694246833334, Epsilon: 0.9
Episode 10, Reward: -99.97691916000001, Epsilon: 0.9
Episode 11, Reward: -89.45133654, Epsilon: 0.9
Episode 12, Reward: -110.03440203, Epsilon: 0.9
Episode 13, Reward: -149.62656288666668, Epsilon: 0.9
Episode 14, Reward: -122.290618045, Epsilon: 0.9
Episode 15, Reward: -131.692958935, Epsilon: 0.9
Episode 16, Reward: -106.48939476333334, Epsilon: 0.9
Episode 17, Reward: -98.62967284166666, Epsilon: 0.9
Episode 18, Reward: -106.65322299166667, Epsilon: 0.9
Episode 19, Reward: -102.35314492500001, Epsilon: 0.9
Episode 20, Reward: -181.27868618166667, Epsilon: 0.9
Episode 21, Reward: -83.64605581000001, Epsilon: 0.9
Episode 22, Reward: -98.9529052, Epsilon: 0.9
Episode 23, Reward: -66.80300546166667, Epsilon: 0.9
Episode 24, Reward: -63.362232428333336, Epsilon: 0.9
Episode 25, Reward: -80.37397055000001, Epsilon: 0.9
Episode 26, Reward: -79.78646891333334, Epsilon: 0.9
Episode 27, Reward: -114.04326237833337, Epsilon: 0.9
Episode 28, Reward: -141.11943899666667, Epsilon: 0.9
Episode 29, Reward: -82.27026895833335, Epsilon: 0.9
Episode 30, Reward: -101.81359928333335, Epsilon: 0.9
Episode 31, Reward: -59.696696981666676, Epsilon: 0.9
Episode 32, Reward: -123.557898065, Epsilon: 0.9
Episode 33, Reward: -89.53092953000001, Epsilon: 0.9
Episode 34, Reward: -137.41925233833334, Epsilon: 0.9
Episode 35, Reward: -108.04471179666666, Epsilon: 0.9
Episode 36, Reward: -84.22115075333335, Epsilon: 0.9
Episode 37, Reward: -87.75570224333333, Epsilon: 0.9
Episode 38, Reward: -117.92946703500004, Epsilon: 0.9
Episode 39, Reward: -65.53426541166667, Epsilon: 0.9
Episode 40, Reward: -113.419265635, Epsilon: 0.9
Episode 41, Reward: -178.55467808, Epsilon: 0.9
Episode 42, Reward: -135.40574758666668, Epsilon: 0.9
Episode 43, Reward: -196.68624533000002, Epsilon: 0.9
Episode 44, Reward: -80.01418102, Epsilon: 0.9
Episode 45, Reward: -89.92148622333333, Epsilon: 0.9
Episode 46, Reward: -101.19217002833332, Epsilon: 0.9
Episode 47, Reward: -115.55512892166666, Epsilon: 0.9
Episode 48, Reward: -166.88379507000002, Epsilon: 0.9
Episode 49, Reward: -165.942408915, Epsilon: 0.9
Episode 50, Reward: -70.252051515, Epsilon: 0.9
Episode 51, Reward: -145.02727421166668, Epsilon: 0.9
Episode 52, Reward: -61.05181590166667, Epsilon: 0.9
Episode 53, Reward: -97.06952258833333, Epsilon: 0.9
Episode 54, Reward: -92.46862418666666, Epsilon: 0.9
Episode 55, Reward: -93.4903887716667, Epsilon: 0.9
Episode 56, Reward: -84.20924832833333, Epsilon: 0.9
Episode 57, Reward: -91.84216947333333, Epsilon: 0.9
Episode 58, Reward: -72.12310722166666, Epsilon: 0.9
Episode 59, Reward: -96.74995361666669, Epsilon: 0.9
Episode 60, Reward: -165.41777526166666, Epsilon: 0.9
Episode 61, Reward: -82.14299281833333, Epsilon: 0.9
Episode 62, Reward: -67.04223158666667, Epsilon: 0.9
Episode 63, Reward: -51.16392535000001, Epsilon: 0.9
Episode 64, Reward: -126.05484055833335, Epsilon: 0.9
Episode 65, Reward: -64.58141114166666, Epsilon: 0.9
Episode 66, Reward: -80.36728931166667, Epsilon: 0.9
Episode 67, Reward: -56.69398482999999, Epsilon: 0.9
Episode 68, Reward: -168.07182604666673, Epsilon: 0.9
Episode 69, Reward: -75.96341433833334, Epsilon: 0.9
Episode 70, Reward: -126.49047041833333, Epsilon: 0.9
Episode 71, Reward: -132.84693017333333, Epsilon: 0.9
Episode 72, Reward: -213.05228890166666, Epsilon: 0.9
Episode 73, Reward: -127.66892240333333, Epsilon: 0.9
Episode 74, Reward: -80.49206080000002, Epsilon: 0.9
Episode 75, Reward: -94.59947227500001, Epsilon: 0.9
Episode 76, Reward: -110.86405039333334, Epsilon: 0.9
Episode 77, Reward: -143.125863505, Epsilon: 0.9
Episode 78, Reward: -95.59701943499999, Epsilon: 0.9
Episode 79, Reward: -62.83629562, Epsilon: 0.9
Episode 80, Reward: -70.431951, Epsilon: 0.9
Episode 81, Reward: -84.65775176166666, Epsilon: 0.9
Episode 82, Reward: -54.614257476666666, Epsilon: 0.9
Episode 83, Reward: -51.658557893333324, Epsilon: 0.9
Episode 84, Reward: -125.49390219833334, Epsilon: 0.9
Episode 85, Reward: -89.81880099166668, Epsilon: 0.9
Episode 86, Reward: -82.89134366166667, Epsilon: 0.9
Episode 87, Reward: -99.64494108, Epsilon: 0.9
Episode 88, Reward: -180.50047334333334, Epsilon: 0.9
Episode 89, Reward: -68.81188503833334, Epsilon: 0.9
Episode 90, Reward: -120.94846765333332, Epsilon: 0.9
Episode 91, Reward: -39.04615147166667, Epsilon: 0.9
Episode 92, Reward: -133.67749947666667, Epsilon: 0.9
Episode 93, Reward: -157.80900789666669, Epsilon: 0.9
Episode 94, Reward: -169.81182022000002, Epsilon: 0.9
Episode 95, Reward: -251.29474004000002, Epsilon: 0.9
Episode 96, Reward: -102.36233043333337, Epsilon: 0.9
